Offset MPU6050
Tiempo total: 1002
Offset AcX = 366.83 | Offset AcY = 4039.03 | Offset AcZ = 342.28
Offset GiX = -65.11 | Offset GiY = -37.98 | Offset GiZ = 5.20
Resultados MPU6050
AcX = 514.00 | AcY = 3995.00 | AcZ = 390.00 | GiX = -51.00 | GiY = 336.00 | GiZ = -132.00 | Tiempo: 40606
AcX = 504.00 | AcY = 3981.00 | AcZ = 402.00 | GiX = -50.00 | GiY = 318.00 | GiZ = -169.00 | Tiempo: 41101
AcX = 510.00 | AcY = 4000.00 | AcZ = 346.00 | GiX = -43.00 | GiY = 279.00 | GiZ = -212.00 | Tiempo: 41596
AcX = 470.00 | AcY = 4014.00 | AcZ = 396.00 | GiX = -39.00 | GiY = 214.00 | GiZ = -220.00 | Tiempo: 42091
AcX = 414.00 | AcY = 4010.00 | AcZ = 348.00 | GiX = -17.00 | GiY = 217.00 | GiZ = -226.00 | Tiempo: 42586
AcX = 366.00 | AcY = 3980.00 | AcZ = 327.00 | GiX = 0.00 | GiY = 249.00 | GiZ = -245.00 | Tiempo: 43081
AcX = 382.00 | AcY = 4007.00 | AcZ = 313.00 | GiX = 9.00 | GiY = 273.00 | GiZ = -265.00 | Tiempo: 43576
AcX = 359.00 | AcY = 3986.00 | AcZ = 331.00 | GiX = 21.00 | GiY = 307.00 | GiZ = -275.00 | Tiempo: 44071
AcX = 369.00 | AcY = 3980.00 | AcZ = 339.00 | GiX = 16.00 | GiY = 332.00 | GiZ = -278.00 | Tiempo: 44566
AcX = 418.00 | AcY = 3989.00 | AcZ = 332.00 | GiX = 3.00 | GiY = 330.00 | GiZ = -305.00 | Tiempo: 45061
AcX = 416.00 | AcY = 3962.00 | AcZ = 316.00 | GiX = 41.00 | GiY = 329.00 | GiZ = -373.00 | Tiempo: 45556
AcX = 443.00 | AcY = 3968.00 | AcZ = 319.00 | GiX = 78.00 | GiY = 348.00 | GiZ = -425.00 | Tiempo: 46051
AcX = 463.00 | AcY = 3915.00 | AcZ = 307.00 | GiX = 112.00 | GiY = 343.00 | GiZ = -471.00 | Tiempo: 46546
AcX = 418.00 | AcY = 3939.00 | AcZ = 229.00 | GiX = 106.00 | GiY = 346.00 | GiZ = -526.00 | Tiempo: 47041
AcX = 390.00 | AcY = 3829.00 | AcZ = 286.00 | GiX = 85.00 | GiY = 308.00 | GiZ = -593.00 | Tiempo: 47536
AcX = 377.00 | AcY = 3883.00 | AcZ = 172.00 | GiX = 50.00 | GiY = 384.00 | GiZ = -563.00 | Tiempo: 48031
AcX = 352.00 | AcY = 3900.00 | AcZ = 205.00 | GiX = 24.00 | GiY = 350.00 | GiZ = -525.00 | Tiempo: 48526
AcX = 303.00 | AcY = 3889.00 | AcZ = 299.00 | GiX = 27.00 | GiY = 356.00 | GiZ = -561.00 | Tiempo: 49021
AcX = 250.00 | AcY = 3957.00 | AcZ = 250.00 | GiX = 41.00 | GiY = 448.00 | GiZ = -567.00 | Tiempo: 49516
AcX = 227.00 | AcY = 3941.00 | AcZ = 92.00 | GiX = 49.00 | GiY = 459.00 | GiZ = -574.00 | Tiempo: 50011
AcX = 269.00 | AcY = 3910.00 | AcZ = 296.00 | GiX = 47.00 | GiY = 551.00 | GiZ = -601.00 | Tiempo: 50506
AcX = 283.00 | AcY = 3898.00 | AcZ = 141.00 | GiX = 50.00 | GiY = 609.00 | GiZ = -653.00 | Tiempo: 51001
AcX = 336.00 | AcY = 3872.00 | AcZ = 228.00 | GiX = 68.00 | GiY = 582.00 | GiZ = -712.00 | Tiempo: 51496
AcX = 353.00 | AcY = 3889.00 | AcZ = 240.00 | GiX = 87.00 | GiY = 612.00 | GiZ = -774.00 | Tiempo: 51991
AcX = 340.00 | AcY = 3835.00 | AcZ = 232.00 | GiX = 100.00 | GiY = 589.00 | GiZ = -744.00 | Tiempo: 52486
AcX = 355.00 | AcY = 3713.00 | AcZ = 264.00 | GiX = 70.00 | GiY = 568.00 | GiZ = -757.00 | Tiempo: 52981
AcX = 363.00 | AcY = 3711.00 | AcZ = 216.00 | GiX = 3.00 | GiY = 572.00 | GiZ = -803.00 | Tiempo: 53476
AcX = 350.00 | AcY = 3726.00 | AcZ = 269.00 | GiX = -80.00 | GiY = 510.00 | GiZ = -824.00 | Tiempo: 53971
