Offset MPU6050
Tiempo total: 1001
Offset AcX = 895.13 | Offset AcY = 3961.74 | Offset AcZ = 247.57
Offset GiX = -307.53 | Offset GiY = 9.32 | Offset GiZ = 13.84
Resultados MPU6050
AcX = 323.00 | AcY = 3544.00 | AcZ = 298.00 | GiX = -6829.00 | GiY = 9320.00 | GiZ = -5587.00 | Tiempo: 47535
AcX = 335.00 | AcY = 3481.00 | AcZ = 562.00 | GiX = -6990.00 | GiY = 9858.00 | GiZ = -5681.00 | Tiempo: 48030
AcX = 286.00 | AcY = 3404.00 | AcZ = 524.00 | GiX = -7066.00 | GiY = 10060.00 | GiZ = -6005.00 | Tiempo: 48525
AcX = 239.00 | AcY = 3352.00 | AcZ = 706.00 | GiX = -7212.00 | GiY = 10412.00 | GiZ = -6233.00 | Tiempo: 49020
AcX = 218.00 | AcY = 3326.00 | AcZ = 692.00 | GiX = -7407.00 | GiY = 10465.00 | GiZ = -6400.00 | Tiempo: 49515
AcX = 206.00 | AcY = 3303.00 | AcZ = 755.00 | GiX = -7540.00 | GiY = 11045.00 | GiZ = -6581.00 | Tiempo: 50010
AcX = 220.00 | AcY = 3278.00 | AcZ = 878.00 | GiX = -7539.00 | GiY = 10871.00 | GiZ = -6855.00 | Tiempo: 50505
AcX = 165.00 | AcY = 3327.00 | AcZ = 1030.00 | GiX = -7616.00 | GiY = 11045.00 | GiZ = -7143.00 | Tiempo: 51000
AcX = 125.00 | AcY = 3357.00 | AcZ = 1050.00 | GiX = -7671.00 | GiY = 10848.00 | GiZ = -7157.00 | Tiempo: 51495
AcX = 88.00 | AcY = 3421.00 | AcZ = 1172.00 | GiX = -7775.00 | GiY = 10869.00 | GiZ = -7366.00 | Tiempo: 51990
AcX = 95.00 | AcY = 3468.00 | AcZ = 1237.00 | GiX = -7857.00 | GiY = 10845.00 | GiZ = -7621.00 | Tiempo: 52485
AcX = 22.00 | AcY = 3520.00 | AcZ = 1195.00 | GiX = -7845.00 | GiY = 10874.00 | GiZ = -7975.00 | Tiempo: 52980
AcX = -80.00 | AcY = 3542.00 | AcZ = 1318.00 | GiX = -7556.00 | GiY = 10513.00 | GiZ = -8153.00 | Tiempo: 53475
