Offset MPU6050
Tiempo total: 1002
Offset AcX = -13.51 | Offset AcY = 2031.55 | Offset AcZ = 64.69
Offset GiX = -18.70 | Offset GiY = -8.49 | Offset GiZ = 23.50
Resultados MPU6050
AcX = 92.00 | AcY = 2025.00 | AcZ = 179.00 | GiX = -73.00 | GiY = 437.00 | GiZ = 47.00 | Tiempo: 35655
AcX = 83.00 | AcY = 2076.00 | AcZ = 171.00 | GiX = -31.00 | GiY = 473.00 | GiZ = -37.00 | Tiempo: 36150
AcX = 62.00 | AcY = 2086.00 | AcZ = 178.00 | GiX = 36.00 | GiY = 515.00 | GiZ = -99.00 | Tiempo: 36645
AcX = 86.00 | AcY = 2042.00 | AcZ = 180.00 | GiX = 91.00 | GiY = 595.00 | GiZ = -162.00 | Tiempo: 37140
AcX = 211.00 | AcY = 2008.00 | AcZ = 203.00 | GiX = 116.00 | GiY = 665.00 | GiZ = -233.00 | Tiempo: 37635
AcX = 241.00 | AcY = 2045.00 | AcZ = 167.00 | GiX = 136.00 | GiY = 653.00 | GiZ = -318.00 | Tiempo: 38130
AcX = 241.00 | AcY = 2040.00 | AcZ = 194.00 | GiX = 155.00 | GiY = 706.00 | GiZ = -327.00 | Tiempo: 38625
AcX = 324.00 | AcY = 2025.00 | AcZ = 199.00 | GiX = 156.00 | GiY = 741.00 | GiZ = -319.00 | Tiempo: 39120
AcX = 426.00 | AcY = 2050.00 | AcZ = 232.00 | GiX = 171.00 | GiY = 749.00 | GiZ = -361.00 | Tiempo: 39615
AcX = 518.00 | AcY = 2111.00 | AcZ = 297.00 | GiX = 212.00 | GiY = 741.00 | GiZ = -429.00 | Tiempo: 40110
AcX = 483.00 | AcY = 2154.00 | AcZ = 314.00 | GiX = 292.00 | GiY = 681.00 | GiZ = -494.00 | Tiempo: 40605
AcX = 419.00 | AcY = 2146.00 | AcZ = 300.00 | GiX = 371.00 | GiY = 648.00 | GiZ = -532.00 | Tiempo: 41100
AcX = 330.00 | AcY = 2130.00 | AcZ = 322.00 | GiX = 453.00 | GiY = 672.00 | GiZ = -602.00 | Tiempo: 41595
AcX = 345.00 | AcY = 2069.00 | AcZ = 286.00 | GiX = 538.00 | GiY = 725.00 | GiZ = -663.00 | Tiempo: 42090
AcX = 407.00 | AcY = 1971.00 | AcZ = 288.00 | GiX = 581.00 | GiY = 749.00 | GiZ = -715.00 | Tiempo: 42585
AcX = 448.00 | AcY = 1928.00 | AcZ = 282.00 | GiX = 607.00 | GiY = 781.00 | GiZ = -811.00 | Tiempo: 43080
AcX = 508.00 | AcY = 1923.00 | AcZ = 337.00 | GiX = 643.00 | GiY = 785.00 | GiZ = -892.00 | Tiempo: 43575
AcX = 504.00 | AcY = 1909.00 | AcZ = 350.00 | GiX = 687.00 | GiY = 737.00 | GiZ = -947.00 | Tiempo: 44070
AcX = 538.00 | AcY = 1879.00 | AcZ = 362.00 | GiX = 736.00 | GiY = 708.00 | GiZ = -983.00 | Tiempo: 44565
AcX = 564.00 | AcY = 1828.00 | AcZ = 383.00 | GiX = 797.00 | GiY = 640.00 | GiZ = -993.00 | Tiempo: 45060
AcX = 529.00 | AcY = 1734.00 | AcZ = 374.00 | GiX = 851.00 | GiY = 538.00 | GiZ = -998.00 | Tiempo: 45555
AcX = 524.00 | AcY = 1630.00 | AcZ = 334.00 | GiX = 912.00 | GiY = 495.00 | GiZ = -1043.00 | Tiempo: 46050
AcX = 602.00 | AcY = 1503.00 | AcZ = 354.00 | GiX = 934.00 | GiY = 469.00 | GiZ = -1119.00 | Tiempo: 46545
AcX = 665.00 | AcY = 1476.00 | AcZ = 374.00 | GiX = 971.00 | GiY = 424.00 | GiZ = -1283.00 | Tiempo: 47040
AcX = 654.00 | AcY = 1448.00 | AcZ = 369.00 | GiX = 1063.00 | GiY = 396.00 | GiZ = -1427.00 | Tiempo: 47535
AcX = 619.00 | AcY = 1371.00 | AcZ = 388.00 | GiX = 1129.00 | GiY = 379.00 | GiZ = -1475.00 | Tiempo: 48030
AcX = 672.00 | AcY = 1255.00 | AcZ = 444.00 | GiX = 1202.00 | GiY = 358.00 | GiZ = -1520.00 | Tiempo: 48525
AcX = 719.00 | AcY = 1187.00 | AcZ = 456.00 | GiX = 1262.00 | GiY = 326.00 | GiZ = -1584.00 | Tiempo: 49020
AcX = 777.00 | AcY = 1064.00 | AcZ = 494.00 | GiX = 1348.00 | GiY = 240.00 | GiZ = -1641.00 | Tiempo: 49515
AcX = 782.00 | AcY = 913.00 | AcZ = 502.00 | GiX = 1417.00 | GiY = 146.00 | GiZ = -1700.00 | Tiempo: 50010
AcX = 791.00 | AcY = 787.00 | AcZ = 471.00 | GiX = 1480.00 | GiY = 82.00 | GiZ = -1797.00 | Tiempo: 50505
AcX = 796.00 | AcY = 625.00 | AcZ = 479.00 | GiX = 1536.00 | GiY = 4.00 | GiZ = -1854.00 | Tiempo: 51000
