---- Opened the serial port COM7 ----
Offset MPU6050
Tiempo total: 1002
Offset AcX = 1195.31 | Offset AcY = 3883.34 | Offset AcZ = 256.59
Offset GiX = -91.78 | Offset GiY = -64.30 | Offset GiZ = -4.98
Resultados MPU6050
AcX = 1239.00 | AcY = 3882.00 | AcZ = 261.00 | GiX = -200.00 | GiY = -369.00 | GiZ = -40.00 | Tiempo: 30705
AcX = 1222.00 | AcY = 3864.00 | AcZ = 236.00 | GiX = -225.00 | GiY = -406.00 | GiZ = -25.00 | Tiempo: 31200
AcX = 1234.00 | AcY = 3860.00 | AcZ = 249.00 | GiX = -224.00 | GiY = -420.00 | GiZ = -13.00 | Tiempo: 31695
AcX = 1242.00 | AcY = 3849.00 | AcZ = 255.00 | GiX = -222.00 | GiY = -408.00 | GiZ = -29.00 | Tiempo: 32190
AcX = 1237.00 | AcY = 3863.00 | AcZ = 248.00 | GiX = -224.00 | GiY = -417.00 | GiZ = -45.00 | Tiempo: 32685
AcX = 1268.00 | AcY = 3879.00 | AcZ = 243.00 | GiX = -222.00 | GiY = -449.00 | GiZ = -70.00 | Tiempo: 33180
AcX = 1277.00 | AcY = 3870.00 | AcZ = 255.00 | GiX = -243.00 | GiY = -451.00 | GiZ = -72.00 | Tiempo: 33675
AcX = 1262.00 | AcY = 3887.00 | AcZ = 248.00 | GiX = -263.00 | GiY = -478.00 | GiZ = -78.00 | Tiempo: 34170
AcX = 1269.00 | AcY = 3864.00 | AcZ = 242.00 | GiX = -266.00 | GiY = -505.00 | GiZ = -82.00 | Tiempo: 34665
AcX = 1271.00 | AcY = 3866.00 | AcZ = 297.00 | GiX = -299.00 | GiY = -540.00 | GiZ = -71.00 | Tiempo: 35160
AcX = 1255.00 | AcY = 3851.00 | AcZ = 275.00 | GiX = -336.00 | GiY = -586.00 | GiZ = -89.00 | Tiempo: 35655
AcX = 1267.00 | AcY = 3864.00 | AcZ = 319.00 | GiX = -351.00 | GiY = -643.00 | GiZ = -89.00 | Tiempo: 36150
AcX = 1287.00 | AcY = 3868.00 | AcZ = 293.00 | GiX = -346.00 | GiY = -695.00 | GiZ = -87.00 | Tiempo: 36645
AcX = 1291.00 | AcY = 3890.00 | AcZ = 307.00 | GiX = -370.00 | GiY = -764.00 | GiZ = -69.00 | Tiempo: 37140
AcX = 1277.00 | AcY = 3912.00 | AcZ = 365.00 | GiX = -369.00 | GiY = -856.00 | GiZ = -79.00 | Tiempo: 37635
AcX = 1285.00 | AcY = 3914.00 | AcZ = 397.00 | GiX = -405.00 | GiY = -992.00 | GiZ = -88.00 | Tiempo: 38130
AcX = 1297.00 | AcY = 3934.00 | AcZ = 418.00 | GiX = -427.00 | GiY = -1111.00 | GiZ = -110.00 | Tiempo: 38625
AcX = 1302.00 | AcY = 3927.00 | AcZ = 481.00 | GiX = -472.00 | GiY = -1283.00 | GiZ = -96.00 | Tiempo: 39120
AcX = 1311.00 | AcY = 3959.00 | AcZ = 560.00 | GiX = -506.00 | GiY = -1460.00 | GiZ = -99.00 | Tiempo: 39615
AcX = 1342.00 | AcY = 3963.00 | AcZ = 560.00 | GiX = -507.00 | GiY = -1653.00 | GiZ = -91.00 | Tiempo: 40110
AcX = 1373.00 | AcY = 3956.00 | AcZ = 619.00 | GiX = -518.00 | GiY = -1925.00 | GiZ = -56.00 | Tiempo: 40605
AcX = 1396.00 | AcY = 3986.00 | AcZ = 653.00 | GiX = -560.00 | GiY = -2251.00 | GiZ = -13.00 | Tiempo: 41100
AcX = 1385.00 | AcY = 3981.00 | AcZ = 705.00 | GiX = -606.00 | GiY = -2681.00 | GiZ = 39.00 | Tiempo: 41595
AcX = 1330.00 | AcY = 3946.00 | AcZ = 743.00 | GiX = -651.00 | GiY = -3033.00 | GiZ = 69.00 | Tiempo: 42090
AcX = 1236.00 | AcY = 3906.00 | AcZ = 738.00 | GiX = -748.00 | GiY = -3370.00 | GiZ = 17.00 | Tiempo: 42585
AcX = 1255.00 | AcY = 3899.00 | AcZ = 807.00 | GiX = -812.00 | GiY = -3803.00 | GiZ = -17.00 | Tiempo: 43080
AcX = 1232.00 | AcY = 3945.00 | AcZ = 811.00 | GiX = -875.00 | GiY = -4159.00 | GiZ = 9.00 | Tiempo: 43575
AcX = 1223.00 | AcY = 3886.00 | AcZ = 865.00 | GiX = -956.00 | GiY = -4577.00 | GiZ = 11.00 | Tiempo: 44070
AcX = 1193.00 | AcY = 3897.00 | AcZ = 893.00 | GiX = -995.00 | GiY = -4991.00 | GiZ = 49.00 | Tiempo: 44565
AcX = 1285.00 | AcY = 3906.00 | AcZ = 928.00 | GiX = -1054.00 | GiY = -5621.00 | GiZ = 120.00 | Tiempo: 45060
AcX = 1247.00 | AcY = 3872.00 | AcZ = 884.00 | GiX = -1158.00 | GiY = -6143.00 | GiZ = 184.00 | Tiempo: 45555
AcX = 1185.00 | AcY = 3809.00 | AcZ = 737.00 | GiX = -1284.00 | GiY = -6786.00 | GiZ = 255.00 | Tiempo: 46050
