Offset MPU6050
Tiempo total: 1215 (2000 muestras)
Offset AcX = 4108.95 | Offset AcY = -113.78 | Offset AcZ = 419.72
Offset GiX = -140.25 | Offset GiY = -93.30 | Offset GiZ = -0.74
Resultados MPU6050
AcX = 4118.00 | AcY = -117.00 | AcZ = 417.00 | GiX = -127.00 | GiY = -85.00 | GiZ = -7.00 | Tiempo: 45446
AcX = 4119.00 | AcY = -112.00 | AcZ = 411.00 | GiX = -140.00 | GiY = -94.00 | GiZ = -1.00 | Tiempo: 46044
AcX = 4131.00 | AcY = -118.00 | AcZ = 430.00 | GiX = -140.00 | GiY = -104.00 | GiZ = -3.00 | Tiempo: 46642
AcX = 4115.00 | AcY = -114.00 | AcZ = 418.00 | GiX = -136.00 | GiY = -89.00 | GiZ = 0.00 | Tiempo: 47240
AcX = 4118.00 | AcY = -115.00 | AcZ = 417.00 | GiX = -134.00 | GiY = -91.00 | GiZ = -10.00 | Tiempo: 47838
AcX = 4114.00 | AcY = -105.00 | AcZ = 441.00 | GiX = -145.00 | GiY = -97.00 | GiZ = 6.00 | Tiempo: 48436
AcX = 4098.00 | AcY = -108.00 | AcZ = 406.00 | GiX = -131.00 | GiY = -104.00 | GiZ = 2.00 | Tiempo: 49034
AcX = 4120.00 | AcY = -109.00 | AcZ = 414.00 | GiX = -131.00 | GiY = -97.00 | GiZ = -9.00 | Tiempo: 49632
AcX = 4122.00 | AcY = -106.00 | AcZ = 422.00 | GiX = -147.00 | GiY = -99.00 | GiZ = 4.00 | Tiempo: 50230
AcX = 4116.00 | AcY = -106.00 | AcZ = 431.00 | GiX = -147.00 | GiY = -90.00 | GiZ = -6.00 | Tiempo: 50828
AcX = 4099.00 | AcY = -119.00 | AcZ = 440.00 | GiX = -135.00 | GiY = -96.00 | GiZ = -3.00 | Tiempo: 51426
AcX = 4114.00 | AcY = -130.00 | AcZ = 400.00 | GiX = -130.00 | GiY = -108.00 | GiZ = 10.00 | Tiempo: 52024
AcX = 4102.00 | AcY = -109.00 | AcZ = 434.00 | GiX = -141.00 | GiY = -96.00 | GiZ = 1.00 | Tiempo: 52622
AcX = 4102.00 | AcY = -116.00 | AcZ = 409.00 | GiX = -139.00 | GiY = -116.00 | GiZ = -8.00 | Tiempo: 53220
AcX = 4107.00 | AcY = -126.00 | AcZ = 413.00 | GiX = -135.00 | GiY = -92.00 | GiZ = -8.00 | Tiempo: 53818
AcX = 4102.00 | AcY = -107.00 | AcZ = 409.00 | GiX = -138.00 | GiY = -92.00 | GiZ = -9.00 | Tiempo: 54416
AcX = 4114.00 | AcY = -106.00 | AcZ = 411.00 | GiX = -127.00 | GiY = -90.00 | GiZ = 8.00 | Tiempo: 55014
AcX = 4102.00 | AcY = -118.00 | AcZ = 436.00 | GiX = -145.00 | GiY = -93.00 | GiZ = -5.00 | Tiempo: 55612
AcX = 4112.00 | AcY = -115.00 | AcZ = 392.00 | GiX = -144.00 | GiY = -94.00 | GiZ = -5.00 | Tiempo: 56210
AcX = 4105.00 | AcY = -124.00 | AcZ = 414.00 | GiX = -140.00 | GiY = -84.00 | GiZ = 3.00 | Tiempo: 56808
AcX = 4106.00 | AcY = -107.00 | AcZ = 409.00 | GiX = -139.00 | GiY = -89.00 | GiZ = -3.00 | Tiempo: 57406
AcX = 4107.00 | AcY = -98.00 | AcZ = 442.00 | GiX = -142.00 | GiY = -88.00 | GiZ = 11.00 | Tiempo: 58004
AcX = 4112.00 | AcY = -112.00 | AcZ = 418.00 | GiX = -141.00 | GiY = -114.00 | GiZ = 6.00 | Tiempo: 58602
AcX = 4099.00 | AcY = -110.00 | AcZ = 421.00 | GiX = -138.00 | GiY = -84.00 | GiZ = 9.00 | Tiempo: 59200
AcX = 4109.00 | AcY = -112.00 | AcZ = 409.00 | GiX = -145.00 | GiY = -108.00 | GiZ = 3.00 | Tiempo: 59798
AcX = 4109.00 | AcY = -105.00 | AcZ = 408.00 | GiX = -144.00 | GiY = -101.00 | GiZ = -8.00 | Tiempo: 60396
AcX = 4110.00 | AcY = -116.00 | AcZ = 420.00 | GiX = -138.00 | GiY = -84.00 | GiZ = -4.00 | Tiempo: 60994
AcX = 4127.00 | AcY = -112.00 | AcZ = 391.00 | GiX = -133.00 | GiY = -96.00 | GiZ = 8.00 | Tiempo: 61592
AcX = 4103.00 | AcY = -124.00 | AcZ = 413.00 | GiX = -161.00 | GiY = -85.00 | GiZ = -8.00 | Tiempo: 62190
AcX = 4118.00 | AcY = -127.00 | AcZ = 403.00 | GiX = -128.00 | GiY = -99.00 | GiZ = 25.00 | Tiempo: 62788
AcX = 4113.00 | AcY = -118.00 | AcZ = 419.00 | GiX = -139.00 | GiY = -85.00 | GiZ = -4.00 | Tiempo: 63386
AcX = 4109.00 | AcY = -111.00 | AcZ = 415.00 | GiX = -122.00 | GiY = -93.00 | GiZ = 5.00 | Tiempo: 63984
AcX = 4110.00 | AcY = -127.00 | AcZ = 399.00 | GiX = -138.00 | GiY = -114.00 | GiZ = 5.00 | Tiempo: 64582
AcX = 4122.00 | AcY = -116.00 | AcZ = 403.00 | GiX = -147.00 | GiY = -95.00 | GiZ = -5.00 | Tiempo: 65180
AcX = 4121.00 | AcY = -125.00 | AcZ = 414.00 | GiX = -136.00 | GiY = -85.00 | GiZ = -1.00 | Tiempo: 65778
AcX = 4095.00 | AcY = -111.00 | AcZ = 420.00 | GiX = -149.00 | GiY = -90.00 | GiZ = -2.00 | Tiempo: 66376
AcX = 4119.00 | AcY = -120.00 | AcZ = 434.00 | GiX = -149.00 | GiY = -121.00 | GiZ = 3.00 | Tiempo: 66974
AcX = 4115.00 | AcY = -117.00 | AcZ = 439.00 | GiX = -128.00 | GiY = -100.00 | GiZ = -8.00 | Tiempo: 67572
AcX = 4117.00 | AcY = -124.00 | AcZ = 420.00 | GiX = -146.00 | GiY = -90.00 | GiZ = -1.00 | Tiempo: 68170
AcX = 4112.00 | AcY = -111.00 | AcZ = 398.00 | GiX = -149.00 | GiY = -105.00 | GiZ = -4.00 | Tiempo: 68768
