Offset MPU6050
Tiempo total: 823 (500 muestras)
Offset AcX = 16300.28 | Offset AcY = 116.62 | Offset AcZ = -65.02
Offset GiX = -267.88 | Offset GiY = -183.02 | Offset GiZ = -0.45
Resultados MPU6050
AcX = 16368.00 | AcY = 116.00 | AcZ = -108.00 | GiX = -253.00 | GiY = -214.00 | GiZ = -25.00 | Tiempo: 180845
AcX = 16476.00 | AcY = 84.00 | AcZ = -64.00 | GiX = -292.00 | GiY = -230.00 | GiZ = -9.00 | Tiempo: 182489
AcX = 16396.00 | AcY = 188.00 | AcZ = -204.00 | GiX = -252.00 | GiY = -127.00 | GiZ = 14.00 | Tiempo: 184133
AcX = 16440.00 | AcY = 140.00 | AcZ = 188.00 | GiX = -267.00 | GiY = -220.00 | GiZ = -2.00 | Tiempo: 185777
AcX = 16416.00 | AcY = 72.00 | AcZ = -140.00 | GiX = -234.00 | GiY = -155.00 | GiZ = -18.00 | Tiempo: 187421
AcX = 16444.00 | AcY = 120.00 | AcZ = -104.00 | GiX = -256.00 | GiY = -201.00 | GiZ = -22.00 | Tiempo: 189065
AcX = 16460.00 | AcY = 108.00 | AcZ = -64.00 | GiX = -263.00 | GiY = -144.00 | GiZ = -9.00 | Tiempo: 190709
AcX = 16412.00 | AcY = 92.00 | AcZ = -152.00 | GiX = -236.00 | GiY = -213.00 | GiZ = -9.00 | Tiempo: 192353
AcX = 16420.00 | AcY = 148.00 | AcZ = -156.00 | GiX = -257.00 | GiY = -144.00 | GiZ = 15.00 | Tiempo: 193997
AcX = 16404.00 | AcY = 168.00 | AcZ = -80.00 | GiX = -266.00 | GiY = -182.00 | GiZ = 16.00 | Tiempo: 195641
AcX = 16428.00 | AcY = 160.00 | AcZ = 28.00 | GiX = -281.00 | GiY = -140.00 | GiZ = -10.00 | Tiempo: 197285
AcX = 16496.00 | AcY = 128.00 | AcZ = -80.00 | GiX = -251.00 | GiY = -177.00 | GiZ = 18.00 | Tiempo: 198929
AcX = 16376.00 | AcY = 156.00 | AcZ = -24.00 | GiX = -255.00 | GiY = -234.00 | GiZ = 11.00 | Tiempo: 200573
AcX = 16408.00 | AcY = 92.00 | AcZ = -164.00 | GiX = -314.00 | GiY = -171.00 | GiZ = 12.00 | Tiempo: 202217
AcX = 16460.00 | AcY = 112.00 | AcZ = -108.00 | GiX = -244.00 | GiY = -203.00 | GiZ = 8.00 | Tiempo: 203861
AcX = 16396.00 | AcY = 176.00 | AcZ = 8.00 | GiX = -283.00 | GiY = -180.00 | GiZ = -4.00 | Tiempo: 205505
AcX = 16444.00 | AcY = 56.00 | AcZ = 12.00 | GiX = -275.00 | GiY = -208.00 | GiZ = -11.00 | Tiempo: 207149
AcX = 16420.00 | AcY = 60.00 | AcZ = -72.00 | GiX = -263.00 | GiY = -186.00 | GiZ = 9.00 | Tiempo: 208793
AcX = 16524.00 | AcY = 108.00 | AcZ = -120.00 | GiX = -238.00 | GiY = -194.00 | GiZ = 3.00 | Tiempo: 210437
AcX = 16424.00 | AcY = 116.00 | AcZ = -144.00 | GiX = -239.00 | GiY = -144.00 | GiZ = -9.00 | Tiempo: 212081
AcX = 16448.00 | AcY = 132.00 | AcZ = -20.00 | GiX = -301.00 | GiY = -206.00 | GiZ = 4.00 | Tiempo: 213725
AcX = 16412.00 | AcY = 40.00 | AcZ = 20.00 | GiX = -289.00 | GiY = -168.00 | GiZ = 13.00 | Tiempo: 215369
AcX = 16440.00 | AcY = 152.00 | AcZ = -52.00 | GiX = -288.00 | GiY = -231.00 | GiZ = -1.00 | Tiempo: 217013
AcX = 16440.00 | AcY = 88.00 | AcZ = -8.00 | GiX = -279.00 | GiY = -200.00 | GiZ = -5.00 | Tiempo: 218657
AcX = 16440.00 | AcY = 60.00 | AcZ = -128.00 | GiX = -255.00 | GiY = -152.00 | GiZ = -6.00 | Tiempo: 220301
AcX = 16492.00 | AcY = 124.00 | AcZ = -80.00 | GiX = -280.00 | GiY = -182.00 | GiZ = -10.00 | Tiempo: 221945
AcX = 16472.00 | AcY = 108.00 | AcZ = 32.00 | GiX = -257.00 | GiY = -169.00 | GiZ = -6.00 | Tiempo: 223589
AcX = 16412.00 | AcY = 68.00 | AcZ = -44.00 | GiX = -274.00 | GiY = -170.00 | GiZ = -11.00 | Tiempo: 225233
AcX = 16468.00 | AcY = 72.00 | AcZ = -152.00 | GiX = -274.00 | GiY = -190.00 | GiZ = 18.00 | Tiempo: 226877
AcX = 16448.00 | AcY = 96.00 | AcZ = -44.00 | GiX = -250.00 | GiY = -202.00 | GiZ = 41.00 | Tiempo: 228521
AcX = 16452.00 | AcY = 40.00 | AcZ = -100.00 | GiX = -291.00 | GiY = -191.00 | GiZ = 0.00 | Tiempo: 230165
AcX = 16440.00 | AcY = 156.00 | AcZ = -56.00 | GiX = -279.00 | GiY = -231.00 | GiZ = 6.00 | Tiempo: 231809
AcX = 16456.00 | AcY = 128.00 | AcZ = -44.00 | GiX = -273.00 | GiY = -184.00 | GiZ = 11.00 | Tiempo: 233453
AcX = 16444.00 | AcY = 104.00 | AcZ = 36.00 | GiX = -239.00 | GiY = -208.00 | GiZ = 9.00 | Tiempo: 235097
AcX = 16492.00 | AcY = 128.00 | AcZ = -56.00 | GiX = -234.00 | GiY = -177.00 | GiZ = 26.00 | Tiempo: 236741
AcX = 16428.00 | AcY = 92.00 | AcZ = 24.00 | GiX = -273.00 | GiY = -183.00 | GiZ = 3.00 | Tiempo: 238385
AcX = 16436.00 | AcY = 96.00 | AcZ = -64.00 | GiX = -261.00 | GiY = -158.00 | GiZ = -12.00 | Tiempo: 240029
AcX = 16432.00 | AcY = 172.00 | AcZ = -112.00 | GiX = -272.00 | GiY = -154.00 | GiZ = 5.00 | Tiempo: 241673
AcX = 16464.00 | AcY = 144.00 | AcZ = -36.00 | GiX = -268.00 | GiY = -179.00 | GiZ = 0.00 | Tiempo: 243317
AcX = 16348.00 | AcY = 144.00 | AcZ = -116.00 | GiX = -271.00 | GiY = -162.00 | GiZ = 18.00 | Tiempo: 244961
AcX = 16452.00 | AcY = 112.00 | AcZ = -40.00 | GiX = -241.00 | GiY = -221.00 | GiZ = -20.00 | Tiempo: 246605
AcX = 16468.00 | AcY = 84.00 | AcZ = -96.00 | GiX = -248.00 | GiY = -176.00 | GiZ = 12.00 | Tiempo: 248249
AcX = 16424.00 | AcY = 112.00 | AcZ = -112.00 | GiX = -272.00 | GiY = -196.00 | GiZ = 13.00 | Tiempo: 249893
AcX = 16456.00 | AcY = 96.00 | AcZ = -104.00 | GiX = -286.00 | GiY = -171.00 | GiZ = 28.00 | Tiempo: 251537
AcX = 16440.00 | AcY = 92.00 | AcZ = -88.00 | GiX = -231.00 | GiY = -173.00 | GiZ = -3.00 | Tiempo: 253181
AcX = 16328.00 | AcY = 108.00 | AcZ = -96.00 | GiX = -259.00 | GiY = -215.00 | GiZ = -15.00 | Tiempo: 254825
AcX = 16408.00 | AcY = 208.00 | AcZ = -192.00 | GiX = -258.00 | GiY = -186.00 | GiZ = -21.00 | Tiempo: 256469
AcX = 16404.00 | AcY = 140.00 | AcZ = 60.00 | GiX = -249.00 | GiY = -183.00 | GiZ = 26.00 | Tiempo: 258113
AcX = 16372.00 | AcY = 100.00 | AcZ = -56.00 | GiX = -277.00 | GiY = -175.00 | GiZ = 12.00 | Tiempo: 259757
AcX = 16536.00 | AcY = 124.00 | AcZ = -4.00 | GiX = -274.00 | GiY = -201.00 | GiZ = 2.00 | Tiempo: 261401
AcX = 16460.00 | AcY = 120.00 | AcZ = -40.00 | GiX = -264.00 | GiY = -184.00 | GiZ = 4.00 | Tiempo: 263045
AcX = 16472.00 | AcY = 88.00 | AcZ = -12.00 | GiX = -291.00 | GiY = -185.00 | GiZ = -24.00 | Tiempo: 264689
AcX = 16400.00 | AcY = 148.00 | AcZ = -256.00 | GiX = -286.00 | GiY = -138.00 | GiZ = 8.00 | Tiempo: 266333
AcX = 16492.00 | AcY = 132.00 | AcZ = -48.00 | GiX = -275.00 | GiY = -218.00 | GiZ = 0.00 | Tiempo: 267977
AcX = 16436.00 | AcY = 104.00 | AcZ = -128.00 | GiX = -281.00 | GiY = -174.00 | GiZ = 21.00 | Tiempo: 269621
AcX = 16428.00 | AcY = 112.00 | AcZ = -40.00 | GiX = -266.00 | GiY = -227.00 | GiZ = -8.00 | Tiempo: 271265
AcX = 16388.00 | AcY = 120.00 | AcZ = -88.00 | GiX = -299.00 | GiY = -196.00 | GiZ = 11.00 | Tiempo: 272909
AcX = 16460.00 | AcY = 148.00 | AcZ = -184.00 | GiX = -249.00 | GiY = -181.00 | GiZ = -2.00 | Tiempo: 274553
AcX = 16400.00 | AcY = 76.00 | AcZ = -96.00 | GiX = -255.00 | GiY = -197.00 | GiZ = -32.00 | Tiempo: 276197
AcX = 16472.00 | AcY = 128.00 | AcZ = -144.00 | GiX = -275.00 | GiY = -209.00 | GiZ = -31.00 | Tiempo: 277841
AcX = 16404.00 | AcY = 72.00 | AcZ = 32.00 | GiX = -249.00 | GiY = -206.00 | GiZ = 4.00 | Tiempo: 279485
AcX = 16452.00 | AcY = 132.00 | AcZ = -128.00 | GiX = -284.00 | GiY = -216.00 | GiZ = -37.00 | Tiempo: 281129
AcX = 16476.00 | AcY = 136.00 | AcZ = 84.00 | GiX = -269.00 | GiY = -189.00 | GiZ = -4.00 | Tiempo: 282773
AcX = 16468.00 | AcY = 88.00 | AcZ = -44.00 | GiX = -273.00 | GiY = -182.00 | GiZ = 1.00 | Tiempo: 284417
AcX = 16500.00 | AcY = 108.00 | AcZ = 120.00 | GiX = -261.00 | GiY = -222.00 | GiZ = 4.00 | Tiempo: 286061
AcX = 16384.00 | AcY = 120.00 | AcZ = -60.00 | GiX = -290.00 | GiY = -167.00 | GiZ = 2.00 | Tiempo: 287705
AcX = 16480.00 | AcY = 168.00 | AcZ = -100.00 | GiX = -292.00 | GiY = -195.00 | GiZ = 3.00 | Tiempo: 289349
AcX = 16400.00 | AcY = 156.00 | AcZ = -68.00 | GiX = -277.00 | GiY = -166.00 | GiZ = -41.00 | Tiempo: 290993
AcX = 16440.00 | AcY = 104.00 | AcZ = -32.00 | GiX = -276.00 | GiY = -238.00 | GiZ = -4.00 | Tiempo: 292637
AcX = 16384.00 | AcY = 116.00 | AcZ = -92.00 | GiX = -238.00 | GiY = -197.00 | GiZ = -4.00 | Tiempo: 294281
AcX = 16484.00 | AcY = 160.00 | AcZ = -96.00 | GiX = -289.00 | GiY = -190.00 | GiZ = 23.00 | Tiempo: 295925
AcX = 16428.00 | AcY = 116.00 | AcZ = 24.00 | GiX = -273.00 | GiY = -212.00 | GiZ = 12.00 | Tiempo: 297569
AcX = 16460.00 | AcY = 128.00 | AcZ = -24.00 | GiX = -256.00 | GiY = -185.00 | GiZ = 0.00 | Tiempo: 299213
AcX = 16412.00 | AcY = 84.00 | AcZ = -36.00 | GiX = -285.00 | GiY = -191.00 | GiZ = -23.00 | Tiempo: 300857
AcX = 16456.00 | AcY = 128.00 | AcZ = -164.00 | GiX = -274.00 | GiY = -214.00 | GiZ = 7.00 | Tiempo: 302501
AcX = 16496.00 | AcY = 56.00 | AcZ = 76.00 | GiX = -233.00 | GiY = -236.00 | GiZ = -3.00 | Tiempo: 304145
AcX = 16544.00 | AcY = 196.00 | AcZ = -64.00 | GiX = -260.00 | GiY = -206.00 | GiZ = -7.00 | Tiempo: 305789
AcX = 16408.00 | AcY = 104.00 | AcZ = -76.00 | GiX = -270.00 | GiY = -205.00 | GiZ = -14.00 | Tiempo: 307433
